Salary,Position,Age,GP,GS,MP,FG,3P,2P,FT,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,VORP
31377750,PG,26,71,71,32.5,6.3,2.7,3.5,2.5,3.0,6.049999999999999,1.0,0.4,2.6,2.0,17.8,16.3,0.605,0.517,0.228,1.7,8.5,5.2,27.4,1.4,1.1,15.1,22.7,3.1,1.9,5.1,2.0
30913750,SG,26,68,68,35.8,8.35,3.3,6.4,3.8750000000000004,4.3,4.4,1.5,0.4,2.6,2.5,23.099999999999998,22.9,0.614,0.453,0.262,3.1,10.9,7.0,21.4,2.0,1.0,10.3,31.424999999999997,4.5,3.5,8.425,2.1500000000000004
30913750,PG,24,68,68,35.5,8.35,0.9,6.8999999999999995,3.8750000000000004,4.8,5.5,1.55,1.0,2.8,2.8,23.099999999999998,25.725000000000005,0.626,0.122,0.535,2.6,12.2,7.3,25.7,2.2,2.5,10.1,31.424999999999997,4.5,3.0,8.425,2.1500000000000004
30913750,C,24,67,67,30.4,7.8,0.1,6.8999999999999995,2.3,8.4,1.7,0.6,0.8,1.8,2.8,18.0,19.9,0.617,0.027,0.225,9.2,27.5,18.1,9.2,0.9,2.3,11.0,22.9,3.3,3.0,6.2,1.5
30556968,PF,34,62,20,20.0,2.7,1.6,1.1,1.3,6.4,1.9,0.3,0.2,1.1,1.6,8.2,13.1,0.548,0.698,0.215,5.5,29.825000000000003,18.9,13.2,0.6,0.9,13.1,19.2,0.6,2.0,2.6,0.8
30351780,SF,24,74,74,36.9,8.35,3.2,6.6,3.8750000000000004,8.4,4.6,1.1,0.7,2.9,2.2,23.099999999999998,23.7,0.607,0.44,0.399,3.2,22.5,13.0,20.9,1.4,1.6,10.4,31.424999999999997,4.5,4.05,8.425,2.1500000000000004
30351780,C,25,75,75,34.6,8.0,0.0,6.8999999999999995,3.8750000000000004,8.4,3.2,1.2,0.8,2.5,2.8,20.4,20.1,0.592,0.011,0.361,8.0,23.6,15.5,15.9,1.7,2.4,12.7,25.2,3.6,3.8,7.4,2.1500000000000004
30351780,PG,25,73,73,33.4,8.35,1.6,6.8999999999999995,3.8750000000000004,4.2,6.049999999999999,1.1,0.3,2.5,2.4,23.099999999999998,21.8,0.599,0.276,0.331,1.9,12.4,7.2,29.6,1.6,0.8,10.6,30.1,4.5,1.8,7.4,2.1500000000000004
30075000,SF,32,50,50,31.5,5.5,1.0,4.5,2.6,4.3,4.1,0.8,0.2,2.0,1.4,14.7,13.5,0.563,0.275,0.274,2.2,12.6,7.3,19.3,1.3,0.7,13.2,20.0,0.8,1.1,2.0,0.2
29776785,SF,26,67,67,35.9,8.35,2.4,6.8999999999999995,3.8750000000000004,6.9,3.5,1.1,0.4,2.9,2.6,23.099999999999998,19.1,0.581,0.352,0.249,3.6,17.0,10.4,16.5,1.5,0.9,11.4,31.4,1.6,3.4,5.0,2.0
28400000,PG,37,59,59,32.0,5.0,1.7,3.3,2.3,4.3,6.049999999999999,1.5,0.4,1.9,2.1,13.9,17.7,0.555,0.391,0.24,1.6,13.4,7.4,33.825,2.4,1.0,13.4,19.2,3.7,2.5,6.2,2.1500000000000004
