Salary,Position,Age,GP,GS,3P,TRB,AST,STL,BLK,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,STL%,BLK%,TOV%,USG%,WS,eficiencia,tier_time
33833400,4,26,53,53,2.1,4.5,5.5,1.0,0.3,3.0,23.099999999999998,22.0,0.601,0.296,0.336,2.7,7.2,1.4,0.9,10.6,31.424999999999997,6.0,34.39999999999999,3
33616770,3,27,37,37,2.4,5.0,2.3,1.2,0.8,2.9,17.1,14.7,0.564,0.425,0.136,5.7,8.6,1.8,2.1,7.9,21.5,2.3,26.400000000000002,3
33616770,0,28,66,66,1.0,8.4,4.2,1.0,1.1,3.1,23.099999999999998,25.725000000000005,0.655,0.151,0.581,5.9,17.3,1.4,4.6,11.9,31.424999999999997,8.425,37.8,2
33333333,4,31,75,75,2.8,4.4,5.7,0.9,0.5,2.0,20.9,15.6,0.541,0.404,0.177,2.4,7.0,1.3,1.4,11.2,26.4,4.3,32.4,3
33000000,2,33,58,58,2.8,6.1,6.049999999999999,1.2,0.5,1.9,21.0,21.6,0.607,0.496,0.429,2.3,9.8,1.6,1.4,16.3,25.0,8.4,34.85,2
31650600,2,25,65,65,2.6,4.0,6.049999999999999,1.0,0.2,1.6,20.0,18.0,0.571,0.415,0.207,2.7,6.9,1.5,0.7,11.3,26.1,5.1,31.249999999999996,2
31650600,3,25,45,45,1.4,5.5,5.8,0.7,0.4,2.6,23.099999999999998,19.2,0.582,0.196,0.326,1.7,9.1,1.0,1.2,13.4,30.8,3.5,35.5,3
31377750,2,26,71,71,2.7,3.0,6.049999999999999,1.0,0.4,2.0,17.8,16.3,0.605,0.517,0.228,1.7,5.2,1.4,1.1,15.1,22.7,5.1,28.25,3
30913750,4,26,68,68,3.3,4.3,4.4,1.5,0.4,2.5,23.099999999999998,22.9,0.614,0.453,0.262,3.1,7.0,2.0,1.0,10.3,31.424999999999997,8.425,33.699999999999996,2
30913750,2,24,68,68,0.9,4.8,5.5,1.55,1.0,2.8,23.099999999999998,25.725000000000005,0.626,0.122,0.535,2.6,7.3,2.2,2.5,10.1,31.424999999999997,8.425,35.949999999999996,1
30913750,0,24,67,67,0.1,8.4,1.7,0.6,0.8,2.8,18.0,19.9,0.617,0.027,0.225,9.2,18.1,0.9,2.3,11.0,22.9,6.2,29.500000000000004,3
30556968,1,34,62,20,1.6,6.4,1.9,0.3,0.2,1.6,8.2,13.1,0.548,0.698,0.215,5.5,18.9,0.6,0.9,13.1,19.2,2.6,17.0,2
30351780,3,24,74,74,3.2,8.4,4.6,1.1,0.7,2.2,23.099999999999998,23.7,0.607,0.44,0.399,3.2,13.0,1.4,1.6,10.4,31.424999999999997,8.425,37.9,3
